,Congress,ICPSR#,State#,HouseDist,State Name,Party,Name,Comm Number,1st Dim,2nd Dim,Log-Lik,TotalChoice,GeomMean,Pct Correct
265,112,21146,33,8,MINNESO,200,CRAVAACK,C00475632,0.387,0.123,-149.40222,861,0.841,0.923\
89,112,29328,43,3,FLORIDA,100,BROWN,C00272732,-0.448,0.069,-129.52534,835,0.856,0.946\
15,112,20763,52,4,MARYLAN,100,EDWARDS,C00422964,-0.621,-0.37,-106.76951,859,0.883,0.941\
261,112,29124,23,4,MICHIGA,200,CAMP,C00347476,0.383,-0.159,-122.30687,855,0.867,0.946\
236,112,21155,13,19,NEW YOR,200,HAYWORTH,C00466490,0.325,-0.385,-207.70985,862,0.786,0.893\
253,112,90327,45,5,LOUISIA,200,ALEXANDER,C00376749,0.366,0.216,-96.60081,847,0.892,0.956\
235,112,20709,43,13,FLORIDA,200,BUCHANAN,C00412759,0.325,-0.18,-158.72818,848,0.829,0.922\
134,112,20519,13,27,NEW YOR,100,HIGGINS,C00401034,-0.37,0.097,-140.45274,848,0.847,0.934\
84,112,21172,5,1,RHODE I,100,CICILLINE,C00476564,-0.457,-0.239,-114.95887,857,0.874,0.950\
274,112,15413,71,24,CALIFOR,200,GALLEGLY,C00194803,0.401,-0.159,-113.81663,841,0.873,0.957\
86,112,21124,82,1,HAWAII,100,HANABUSA,C00468413,-0.455,0.018,-118.13284,856,0.871,0.949\
87,112,20708,43,11,FLORIDA,100,CASTOR,C00410761,-0.452,-0.03,-116.14349,802,0.865,0.941\
342,112,20355,49,26,TEXAS,200,BURGESS,C00372532,0.523,-0.098,-228.34854,856,0.766,0.880\
254,112,20111,43,4,FLORIDA,200,CRENSHAW,C00352849,0.367,0.058,-108.63309,859,0.881,0.950\
17,112,29123,3,1,MASSACH,100,OLVER,C00250860,-0.613,-0.209,-93.04,753,0.884,0.952\
370,112,21180,54,6,TENNESS,200,BLACK,C00472878,0.563,0.13,-94.78016,844,0.894,0.953\
92,112,29109,1,3,CONNECT,100,DELAURO,C00238865,-0.446,-0.141,-97.48348,858,0.893,0.960\
20,112,29380,13,22,NEW YOR,100,HINCHEY,C00272633,-0.602,-0.063,-110.44164,648,0.843,0.934\
94,112,29908,1,1,CONNECT,100,LARSON,C00330142,-0.445,-0.166,-121.82218,809,0.86,0.931\
167,112,21194,13,26,NEW YOR,100,HOCHUL,C00494013,-0.298,0.277,-150.08963,508,0.744,0.872\
55,112,20958,71,10,CALIFOR,100,GARAMENDI,C00462697,-0.501,-0.213,-123.8795,827,0.861,0.948\
383,112,21183,49,23,TEXAS,200,CANSECO,C00394353,0.593,0.389,-87.64542,860,0.903,0.969\
429,112,20304,61,2,ARIZONA,200,FRANKS,C00367110,0.775,-0.041,-135.06966,853,0.854,0.926\
49,112,21195,71,36,CALIFOR,100,HAHN,C00493023,-0.517,-0.154,-18.13637,293,0.94,0.973\
416,112,20336,12,5,NEW JER,200,GARRETT,C00386110,0.689,-0.368,-130.58017,853,0.858,0.928\
307,112,21165,24,18,OHIO,200,GIBBS,C00466516,0.466,0.138,-102.62878,864,0.888,0.949\
168,112,29318,71,36,CALIFOR,100,HARMAN,C00255141,-0.29,-0.155,-22.58481,85,0.767,0.929\
360,112,15420,71,2,CALIFOR,200,HERGER,C00202523,0.548,0.043,-88.50028,848,0.901,0.955\
